Temp    Hum    Light 
32.0    36.0    0.16
32.0    37.0    0.17
32.0    36.0    0.16
32.0    34.0    0.16
33.0    33.0    0.15
33.0    33.0    0.15
33.0    33.0    0.15
34.0    34.0    0.15
33.0    33.0    0.15
34.0    34.0    0.14
34.0    34.0    0.14
34.0    35.0    0.14
34.0    35.0    0.14
34.0    37.0    0.14
34.0    36.0    0.14
34.0    35.0    0.14
34.0    35.0    0.14
34.0    36.0    0.15
34.0    35.0    0.15
34.0    35.0    0.15
34.0    35.0    0.15
34.0    34.0    0.15
34.0    34.0    0.15
34.0    34.0    0.15
34.0    35.0    0.15
34.0    35.0    0.16
34.0    34.0    0.16
34.0    37.0    0.16
34.0    37.0    0.16
34.0    35.0    0.16
34.0    35.0    0.16
34.0    34.0    0.17
34.0    34.0    0.17
34.0    34.0    0.17
34.0    35.0    0.18
34.0    34.0    0.18
34.0    35.0    0.18
34.0    35.0    0.18
34.0    34.0    0.19
34.0    34.0    0.19
34.0    35.0    0.20
34.0    34.0    0.20
34.0    34.0    0.20
34.0    33.0    0.21
34.0    34.0    0.21
34.0    34.0    0.21
34.0    34.0    0.22
34.0    34.0    0.22
34.0    34.0    0.23
34.0    33.0    0.23
34.0    30.0    0.24
34.0    30.0    0.24
34.0    30.0    0.25
34.0    30.0    0.25
34.0    30.0    0.26
34.0    29.0    0.26
34.0    29.0    0.27
34.0    30.0    0.28
34.0    31.0    0.28
34.0    30.0    0.29
34.0    32.0    0.29
34.0    31.0    0.30
34.0    26.0    0.30
34.0    31.0    0.31
34.0    31.0    0.32
33.0    32.0    0.33
34.0    30.0    0.34
33.0    33.0    0.35
33.0    33.0    0.35
33.0    34.0    0.36
33.0    31.0    0.37
33.0    32.0    0.38
33.0    32.0    0.39
33.0    34.0    0.40
33.0    32.0    0.41
33.0    32.0    0.42
33.0    32.0    0.44
33.0    33.0    0.45
33.0    31.0    0.46
33.0    34.0    0.48
32.0    35.0    0.50
32.0    35.0    0.51
32.0    33.0    0.53
32.0    32.0    0.55
32.0    33.0    0.57
32.0    32.0    0.59
32.0    38.0    0.62
32.0    38.0    0.65
32.0    34.0    0.68
31.0    33.0    0.71
31.0    32.0    0.74
31.0    33.0    0.79
31.0    37.0    0.84
31.0    39.0    0.90
31.0    40.0    0.98
30.0    39.0    1.07
30.0    39.0    1.18
30.0    40.0    1.31
30.0    40.0    1.47
30.0    40.0    1.68
30.0    39.0    1.92
30.0    39.0    2.04
30.0    40.0    2.04
30.0    40.0    2.04
30.0    41.0    2.04
29.0    41.0    2.04
29.0    41.0    2.04
29.0    41.0    2.04
29.0    41.0    2.04
29.0    43.0    1.71
29.0    43.0    1.73
29.0    44.0    1.74
29.0    44.0    1.75
29.0    45.0    1.75
29.0    45.0    1.75
29.0    46.0    1.75
29.0    47.0    1.76
29.0    47.0    1.76
28.0    47.0    1.76
28.0    47.0    1.77
28.0    47.0    1.77
28.0    46.0    1.76
28.0    47.0    1.76
28.0    49.0    1.77
28.0    49.0    1.77
28.0    49.0    1.77
28.0    50.0    1.76
28.0    50.0    1.78
28.0    50.0    1.77
28.0    51.0    1.78
28.0    51.0    1.77
28.0    51.0    1.77
28.0    52.0    1.77
27.0    51.0    1.77
27.0    51.0    1.77
27.0    51.0    1.77
27.0    52.0    1.78
27.0    52.0    1.77
27.0    52.0    1.77
27.0    52.0    1.78
27.0    53.0    1.77
27.0    52.0    1.78
27.0    53.0    1.78
27.0    53.0    1.77
27.0    53.0    1.77
27.0    53.0    1.77
27.0    53.0    1.77
27.0    53.0    1.77
27.0    53.0    1.77
26.0    54.0    1.77
26.0    53.0    1.77
26.0    55.0    1.77
26.0    54.0    1.77
26.0    54.0    1.77
26.0    55.0    1.77
26.0    55.0    2.04
26.0    55.0    2.04
26.0    55.0    2.04
26.0    55.0    2.04
26.0    55.0    2.04
26.0    55.0    2.04
26.0    55.0    2.04
26.0    55.0    2.04
26.0    55.0    2.04
26.0    56.0    2.04
26.0    56.0    2.04
26.0    56.0    2.04
25.0    55.0    2.04
25.0    55.0    2.04
25.0    55.0    2.04
25.0    55.0    2.04
25.0    56.0    2.04
25.0    56.0    2.04
25.0    56.0    2.04
25.0    57.0    2.04
25.0    57.0    2.04
25.0    56.0    2.04
25.0    56.0    2.04
25.0    57.0    2.04
25.0    57.0    2.04
25.0    57.0    2.04
25.0    58.0    2.04
25.0    58.0    2.04
25.0    57.0    2.04
25.0    57.0    2.04
25.0    57.0    2.04
25.0    57.0    2.04
25.0    58.0    2.04
25.0    57.0    2.04
25.0    57.0    2.04
25.0    57.0    2.04
24.0    57.0    2.04
24.0    57.0    2.04
24.0    57.0    2.04
24.0    58.0    2.04
24.0    58.0    2.04
24.0    58.0    2.04
24.0    57.0    2.04
24.0    57.0    2.04
24.0    57.0    2.04
24.0    56.0    2.04
24.0    56.0    2.04
24.0    56.0    2.04
24.0    56.0    2.04
24.0    57.0    2.04
24.0    57.0    2.04
24.0    57.0    2.04
24.0    58.0    2.04
24.0    59.0    2.04
24.0    58.0    2.04
24.0    58.0    2.04
24.0    57.0    2.04
24.0    57.0    2.04
24.0    57.0    2.04
24.0    57.0    2.04
23.0    57.0    1.78
24.0    56.0    1.55
23.0    56.0    1.37
23.0    56.0    1.22
23.0    56.0    1.11
24.0    56.0    1.02
23.0    55.0    0.95
24.0    55.0    0.89
24.0    55.0    0.84
24.0    55.0    0.80
24.0    55.0    0.77
24.0    55.0    0.73
24.0    52.0    0.71
